202,"Disc Title","Et smukt sind",0667068832624,"DVD",2001,tt0268978,130,"Ron Howard","Russell Crowe,Jennifer Connelly,Christopher Plummer,Paul Bettany,Adam Goldberg,Josh Lucas,Anthony Rapp,Jason Gray-Stanford,Judd Hirsch,Austin Pendleton,Ron Howard",
241,"Disc Title","Man on the Moon",7321979186414,"DVD",1999,tt0125664,114,"Milos Forman","Jim Carrey,Gerry Becker,Greyson Erik Pendry,Brittany Colonna,Leslie Lyles,Bobby Boriello,George Shapiro,Danny DeVito,Budd Friedman,Tom Dreesen,Milos Forman,Scott Alexander,Larry Karaszewski",
49,"Disc Title","The Constant Gardener",5704017870575,"DVD",2005,tt0387131,0,"Fernando Meirelles","Ralph Fiennes,Rachel Weisz,Hubert Koundé,Danny Huston,Daniele Harford,Packson Ngugi,Damaris Itenyo Agweyu,Bernard Otieno Oduor,Bill Nighy,Keith Pearson,Fernando Meirelles,Jeffrey Caine,John le Carré",
212,"Disc Title","Monas Verden",5708758642897,"DVD",2001,tt0257930,85,"Jonas Elmer","Sidse Babett Knudsen,Thomas Bo Larsen,Mads Mikkelsen,Klaus Bondam,Bjarne Henriksen,Jesper Asholt,Bodil Udsen,Martin Buch,Mette Agnete Horn,Marianne S. Madsen,Jonas Elmer,Jonas Elmer,Nikolaj Peyk,Monica Steenberg,Thomas Lydholm,Peter Bose,Nanna Nikali,Morten Søborg,Mette Zeruneith,Halfdan E",
221,"Disc Title","Dear Wendy",5705410654410,"DVD",2005,tt0342272,0,"Thomas Vinterberg","Jamie Bell,Bill Pullman,Michael Angarano,Danso Gordon,Novella Nelson,Chris Owen,Alison Pill,Mark Webber,Trevor Cooper,Matthew Géczy,Thomas Vinterberg,Lars Von Trier",
74,"Disc Title","The Fisher King",5050582193817,"DVD",1991,tt0101889,0,"Terry Gilliam","Jeff Bridges,Adam Bryant,Paul Lombardi,David Hyde Pierce,Ted Ross,Lara Harris,Warren Olney,Frazer Smith,Mercedes Ruehl,Kathy Najimy,Terry Gilliam,Richard LaGravenese",
16,"Disc Title","Irréversible",5706102359873,"DVD",2002,tt0290673,94,"Gaspar Noé","Monica Bellucci,Vincent Cassel,Albert Dupontel,Jo Prestia,Philippe Nahon,Stéphane Drouot,Jean-Louis Costes,Michel Gondoin,Mourad Khima,Hellal,Gaspar Noé,Gaspar Noé,Christophe Rossignon,Vincent Cassell,Brahim Chioua,Richard Grandpierre,Gaspar Noé,Emmanuel Gateau,Benoît Debie,Gaspar Noé,Gaspar Noé,Thomas Bangalter",
170,"Disc Title","City of God",5706102362118,"DVD",2002,tt0317248,124,"Fernando Meirelles","Alexandre Rodrigues,Leandro Firmino,Phellipe Haagensen,Douglas Silva,Jonathan Haagensen,Matheus Nachtergaele,Seu Jorge,Jefechander Suplino,Alice Braga,Emerson Gomes,Fernando Meirelles,Kátia Lund,Paulo Lins,Bráulio Mantovani",
96,"Disc Title","Ilsa: Haremmets slavepisker",5706102357138,"DVD",1976,tt0074670,89,"Don Edmonds","Dyanne Thorne,Max Thayer,Jerry Delony,Uschi Digard,Colleen Brennan,Haji,Tanya Boyd,Marilyn Joi,Su Ling,Richard Kennedy,Don Edmonds,Langston Stafford,Don Edmonds,Dean Cundey,Glenn Roland",
244,"Disc Title","En Lang Forlovelse",7321980389712,"DVD",2004,tt0344510,0,"Jean-Pierre Jeunet","Audrey Tautou,Gaspard Ulliel,Dominique Pinon,Chantal Neuwirth,André Dussollier,Ticky Holgado,Marion Cotillard,Dominique Bettenfeld,Jodie Foster,Jean-Pierre Darroussin,Jean-Pierre Jeunet,Sébastien Japrisot,Jean-Pierre Jeunet",
